,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,faanui,-16.4833,-151.75,81.54,65,1,5.03,PF,1612592306
282,dyersburg,36.0345,-89.3856,39.2,60,1,6.44,US,1612592296
283,santa marta,11.2408,-74.199,81.0,70,100,5.99,CO,1612592027
284,te anau,-45.4167,167.7167,75.09,45,17,2.44,NZ,1612592307
285,leshukonskoye,64.8989,45.7622,-9.17,88,97,10.4,RU,1612592307
286,show low,34.2542,-110.0298,32.0,64,1,5.7,US,1612592308
287,deputatskiy,69.3,139.9,-26.36,88,100,3.74,RU,1612592308
288,nguruka,-5.1092,31.0419,70.11,86,87,2.59,TZ,1612592308
289,souillac,-20.5167,57.5167,82.4,78,40,9.22,MU,1612592300
290,la romana,18.4273,-68.9728,75.2,94,75,7.61,DO,1612592309
291,kutahya,39.4242,29.9833,30.2,93,64,3.06,TR,1612592309
292,shima,24.4478,117.8111,77.0,53,0,6.71,CN,1612592309
293,biltine,14.5333,20.9167,60.58,30,51,13.67,TD,1612592309
294,dawson,31.7735,-84.4466,46.4,93,90,6.4,US,1612592017
295,basar,27.9833,94.6667,77.0,57,20,5.75,IN,1612592309
296,chapayeve,49.3662,35.8749,15.8,79,75,13.42,UA,1612592310
297,north bend,43.4065,-124.2243,46.0,100,90,5.08,US,1612592310
298,petropavlovsk-kamchatskiy,53.0452,158.6483,19.4,53,40,13.42,RU,1612592310
299,boljevac,43.8303,21.9531,43.0,6,25,2.33,RS,1612592311
300,kavieng,-2.5744,150.7967,81.1,77,100,1.83,PG,1612592311
301,saint-louis,16.3333,-15.0,61.25,62,96,12.82,SN,1612592311
302,caiaponia,-16.9567,-51.8103,70.65,92,89,2.68,BR,1612592311
303,mishan,45.55,131.8833,12.31,93,100,4.29,CN,1612592311
304,san cristobal,7.7669,-72.225,67.5,78,100,0.36,VE,1612592311
305,stokmarknes,68.5646,14.9108,30.99,78,100,3.0,NO,1612592312
306,riyadh,24.6877,46.7219,62.6,72,92,3.44,SA,1612592133
307,makaryev,57.8797,43.8069,-2.49,92,100,9.51,RU,1612592313
308,pevek,69.7008,170.3133,-11.18,86,100,3.11,RU,1612592313
309,ichinoseki,38.9167,141.1333,42.8,75,75,6.91,JP,1612592107
310,banda aceh,5.5577,95.3222,85.96,65,23,10.27,ID,1612592313
311,kovernino,57.1253,43.8142,-2.24,91,100,9.78,RU,1612592313
312,sault sainte marie,46.5168,-84.3333,10.4,72,75,13.8,CA,1612592167
313,havre,49.5833,0.3333,42.8,93,95,1.14,FR,1612592314
314,bullhead city,35.1478,-114.5683,57.2,28,1,7.63,US,1612592314
315,puerto penasco,31.3167,-113.5333,63.54,41,5,4.94,MX,1612592085
316,tsaratanana,-16.7833,47.65,81.01,66,100,3.02,MG,1612592314
317,ola,59.5833,151.2833,4.41,89,99,17.47,RU,1612592314
318,nagato,34.3833,131.2,57.2,62,20,6.91,JP,1612592315
319,iqaluit,63.7506,-68.5145,17.6,86,20,17.27,CA,1612592315
320,rosario,-32.9468,-60.6393,64.4,94,0,2.3,AR,1612592316
321,salinopolis,-0.6136,-47.3561,78.93,83,86,10.11,BR,1612592183
322,walvis bay,-22.9575,14.5053,66.0,94,27,5.75,NA,1612592316
323,rjukan,59.8789,8.5941,12.0,92,97,4.0,NO,1612592316
324,balkanabat,39.5108,54.3671,52.18,64,100,7.61,TM,1612592316
325,busayra,30.7376,35.6078,47.32,96,8,2.1,JO,1612592317
326,lethem,3.3803,-59.7968,75.78,77,46,11.32,GY,1612592317
327,kilindoni,-7.9139,39.6668,81.48,72,28,5.23,TZ,1612592317
328,sakaraha,-22.9,44.5333,82.02,68,89,1.1,MG,1612592318
329,mount gambier,-37.8333,140.7667,69.8,56,40,21.85,AU,1612592318
330,meadow lake,34.8014,-106.5436,44.6,31,40,13.8,US,1612592108
331,sorland,67.667,12.6934,34.99,84,100,28.41,NO,1612592319
332,boyuibe,-20.4167,-63.2833,65.17,70,85,1.77,BO,1612592319
333,salalah,17.0151,54.0924,77.0,57,40,6.91,OM,1612592128
334,xuddur,4.1213,43.8894,75.9,55,63,18.19,SO,1612592319
335,sistranda,63.7256,8.834,21.2,86,40,13.8,NO,1612592319
336,jiangyou,31.7667,104.7167,59.49,42,0,5.28,CN,1612592320
